# w_1 w_2 VF 
5.485980147688215069e+00 1.263941226887834057e+00 -2.878518191864731790e-01
3.256884648008780303e+00 6.201043506204092282e+00 -1.555862988345326769e+00
3.671860545626916217e+00 6.600854009941833134e+00 -2.067493863753044891e+00
7.883188903774158263e+00 8.497408255561387236e+00 -4.915091524715537119e+00
6.370007786998977295e+00 4.857789428944190746e+00 -2.834648437565210344e-01
4.076114149896321592e+00 9.312645513446808465e+00 -6.771056782454254019e+00
3.362356959217536634e+00 2.918969674688741023e+00 1.283036344684658658e+00
4.095308735287913393e+00 9.281597650218685658e+00 -6.707404308603146958e+00
7.336296387964239329e+00 2.005406346589340583e+00 7.978918030856263499e-03
3.068481446273517155e-01 2.100536009959358630e+00 1.287695361999793064e+00
2.345758093480238227e+00 4.835558253979762355e+00 -3.456507809460340752e-02
1.708875842902458642e+00 8.691185028194660378e-02 -8.699804435018467785e-01
6.019615416968111532e+00 5.030403164426832774e+00 -3.768656660104188205e-01
4.929194236514322647e+00 7.394229521379332759e+00 -3.157263745204547334e+00
9.527153898474409743e-01 2.360897877158971259e+00 1.562364367768166673e+00
1.492283421412986977e+00 2.930311584650992618e+00 1.447719003539530647e+00
7.364703439074120617e+00 3.507631998324625133e+00 2.842666249489393948e-01
1.091986081753847371e+00 3.844008249194454052e+00 6.993635701946896432e-01
9.266788778211441979e+00 3.528513950591487980e+00 -2.602370266104134799e-01
7.265039074963260290e+00 4.191237692238361845e+00 2.852447552140624509e-02
3.162515813425818223e+00 7.381669813872832053e-01 -3.191483787959459306e-01
3.256653953981536453e+00 6.875483605942772414e+00 -2.501694504404442299e+00
5.366091174261838681e+00 2.102906879051971156e+00 6.651119703892600654e-01
9.263333099232067269e+00 3.107180019759739231e+00 -2.507085143588501097e-01
4.756963638712282005e+00 7.789117239093163114e+00 -3.838551758439281869e+00
3.761092347970009797e+00 6.532605651498459842e+00 -1.965543032041752625e+00
5.681323058039503771e+00 4.003358766300393334e+00 3.928498359164205311e-01
7.852044639793631653e+00 8.415559757244892580e+00 -4.766281072399580765e+00
6.786547775353669820e+00 6.877397209403435241e+00 -2.369535137549975801e+00
2.866032670689584450e+00 9.792483045952815601e+00 -7.907444975571708667e+00
6.921552010179778058e+00 6.856526670986731631e+00 -2.351094017853030849e+00
4.815575502749868342e+00 7.721823727493537959e+00 -3.716029271017761815e+00
6.704083388988364867e+00 4.819135535128630465e+00 -2.986572992522287251e-01
5.569184608940186409e-01 9.868305607580877492e+00 -9.601054697996007192e+00
9.837290226714584307e+00 5.055639610744693258e+00 -1.133657419704833913e+00
2.345057426303370551e+00 2.991208559508526488e+00 1.390911875292657029e+00
5.044515689308349593e+00 7.255111541768996197e+00 -2.926137230475434947e+00
2.643008469789548398e-02 7.846828949651308172e+00 -6.206648310064339924e+00
5.802852125059715149e+00 1.737133015765300881e+00 2.202435400104132412e-01
3.277849034160195352e+00 9.336643370722631730e+00 -6.935387856559829700e+00
6.834455380685945158e+00 6.315733566004513300e+00 -1.711963577661665070e+00
2.313556536785032147e+00 7.053446909938555720e+00 -2.866413239622490394e+00
4.644365954635478744e+00 7.108877642894825044e+00 -2.729108183411883104e+00
9.149376535513320974e+00 3.242707363453610991e+00 -1.752078869612905265e-01
2.324305471077251273e+00 7.540662568792332543e+00 -3.614489649538883853e+00
6.680647942282824658e+00 4.317740014243614866e+00 5.457378842402071939e-02
5.583588947679709591e+00 2.722511776039657772e+00 7.744278303580340861e-01
8.752383323946625993e+00 7.071619459584186806e+00 -2.748283890890890646e+00
9.555449247573445604e+00 4.804680211900506315e+00 -8.662126515992003561e-01
8.678388748313240697e+00 1.643160643693641454e+00 -8.844995324034261586e-01
3.867599285671015963e+00 5.879510205679197909e+00 -1.115621698088945735e+00
7.209144767200656112e+00 3.262713352916725373e+00 3.669498986564558862e-01
8.842071288383822392e+00 2.662034106234090647e+00 -9.494934405666022315e-02
7.763650205668088056e+00 1.084143872083334348e-01 -3.661550696357155132e+00
2.192977503637056014e+00 6.861255494654136200e+00 -2.611707604955883610e+00
1.039657129737143887e-01 7.635984414051759650e+00 -5.689304529922084797e+00
7.864793207763624672e+00 3.840798430932567342e+00 7.699322840198696838e-02
2.003054200402568430e+00 2.758029003026530646e+00 1.492071326705625367e+00
