#T1 T2 L2 LInf 
0.000000000000000000e+00 1.000000000000000000e+00 1.579595851591863442e-01 1.533912410841696383e+00
1.000000000000000000e+00 2.000000000000000000e+00 2.254711120175492134e-01 1.475670828037701554e+00
2.000000000000000000e+00 3.000000000000000000e+00 1.668321787189207261e-01 9.510759526561072263e-01
3.000000000000000000e+00 4.000000000000000000e+00 1.281337693042491066e-01 6.520980145276155104e-01
4.000000000000000000e+00 5.000000000000000000e+00 9.230234388285032954e-02 4.216323083708824471e-01
5.000000000000000000e+00 6.000000000000000000e+00 6.492819123936127701e-02 3.093258774462115945e-01
6.000000000000000000e+00 7.000000000000000000e+00 4.095844320128300825e-02 1.806769210775939771e-01
7.000000000000000000e+00 8.000000000000000000e+00 2.636121013318336315e-02 1.123539256328218439e-01
8.000000000000000000e+00 9.000000000000000000e+00 2.257332086827566059e-02 9.221011442068624553e-02
9.000000000000000000e+00 1.000000000000000000e+01 1.827091708312127485e-02 7.693737201104419721e-02
1.000000000000000000e+01 1.100000000000000000e+01 1.736162780044367415e-02 6.849346143019167943e-02
1.100000000000000000e+01 1.200000000000000000e+01 1.321214530204283151e-02 7.519935098038998955e-02
1.200000000000000000e+01 1.300000000000000000e+01 1.004080762410319502e-02 5.371143948011384422e-02
1.300000000000000000e+01 1.400000000000000000e+01 8.987718840340601367e-03 3.999738020039890485e-02
1.400000000000000000e+01 1.500000000000000000e+01 7.917642102183874986e-03 3.913819962648853318e-02
1.500000000000000000e+01 1.600000000000000000e+01 6.637209386943140541e-03 3.137542006280751028e-02
1.600000000000000000e+01 1.700000000000000000e+01 5.389350201704752076e-03 3.035629390979635231e-02
1.700000000000000000e+01 1.800000000000000000e+01 5.068250243314953093e-03 3.196418667945791214e-02
1.800000000000000000e+01 1.900000000000000000e+01 4.293868837076400546e-03 2.558884814826830126e-02
1.900000000000000000e+01 2.000000000000000000e+01 2.815076253085030747e-02 1.583672786166796520e-01
2.000000000000000000e+01 2.100000000000000000e+01 4.120182966512778676e-03 2.722908377938625460e-02
2.100000000000000000e+01 2.200000000000000000e+01 2.798738913614066612e-03 1.181785170903739378e-02
2.200000000000000000e+01 2.300000000000000000e+01 2.751076420722420746e-03 1.164429360914509201e-02
2.300000000000000000e+01 2.400000000000000000e+01 2.128345824904640492e-03 1.170075091833717301e-02
2.400000000000000000e+01 2.500000000000000000e+01 1.384568795677259059e-02 2.438764528218952676e-01
2.500000000000000000e+01 2.600000000000000000e+01 1.412157834137576107e-03 7.900674717116360976e-03
2.600000000000000000e+01 2.700000000000000000e+01 1.577613443329054302e-03 1.008039950961610830e-02
2.700000000000000000e+01 2.800000000000000000e+01 1.515395651661383602e-03 8.001311475438243129e-03
2.800000000000000000e+01 2.900000000000000000e+01 1.538488711725087034e-03 7.289030248851400585e-03
2.900000000000000000e+01 3.000000000000000000e+01 3.781439423250585775e-03 2.595027942499309598e-02
3.000000000000000000e+01 3.100000000000000000e+01 4.361932257307026169e-03 2.834922972079746695e-02
3.100000000000000000e+01 3.200000000000000000e+01 2.182384796735620941e-03 1.403588100754784435e-02
3.200000000000000000e+01 3.300000000000000000e+01 3.936315183441101845e-03 1.970265293524144437e-02
3.300000000000000000e+01 3.400000000000000000e+01 3.628396409232920866e-03 1.881002240023851510e-02
3.400000000000000000e+01 3.500000000000000000e+01 3.287023058764939124e-03 1.761139009420179327e-02
3.500000000000000000e+01 3.600000000000000000e+01 2.789981715951647331e-03 1.422955404204549051e-02
