# w_1 w_2 VF 
3.256884648008780303e+00 6.201043506204092282e+00 5.464820581601070870e-01
3.671860545626916217e+00 6.600854009941833134e+00 2.517022035608516006e-01
7.883188903774158263e+00 8.497408255561387236e+00 -4.583367223022834835e+00
6.370007786998977295e+00 4.857789428944190746e+00 -4.551396949276751869e+00
4.076114149896321592e+00 9.312645513446808465e+00 -6.222798429007543319e-01
3.362356959217536634e+00 2.918969674688741023e+00 -1.466866136870523363e+00
4.095308735287913393e+00 9.281597650218685658e+00 -5.949339647631877170e-01
3.068481446273517155e-01 2.100536009959358630e+00 -4.240598922842782059e-01
2.345758093480238227e+00 4.835558253979762355e+00 9.819676251627225128e-01
1.708875842902458642e+00 8.691185028194660378e-02 -4.409706545680821321e+00
6.019615416968111532e+00 5.030403164426832774e+00 -3.633293061855512818e+00
4.929194236514322647e+00 7.394229521379332759e+00 -8.905842314070486765e-01
9.527153898474409743e-01 2.360897877158971259e+00 7.426223502716293723e-01
1.492283421412986977e+00 2.930311584650992618e+00 1.237217348767442715e+00
7.364703439074120617e+00 3.507631998324625133e+00 -8.480076765389641835e+00
1.091986081753847371e+00 3.844008249194454052e+00 5.057986474530462573e-01
7.265039074963260290e+00 4.191237692238361845e+00 -7.184732795410129214e+00
3.162515813425818223e+00 7.381669813872832053e-01 -5.631916288024514827e+00
3.256653953981536453e+00 6.875483605942772414e+00 4.955064701171050245e-01
5.366091174261838681e+00 2.102906879051971156e+00 -7.279495557417250851e+00
4.756963638712282005e+00 7.789117239093163114e+00 -7.653399701011966982e-01
3.761092347970009797e+00 6.532605651498459842e+00 1.912172271895524744e-01
5.681323058039503771e+00 4.003358766300393334e+00 -4.301381918450717379e+00
7.852044639793631653e+00 8.415559757244892580e+00 -4.538888685791791389e+00
6.786547775353669820e+00 6.877397209403435241e+00 -3.232265452887078894e+00
2.866032670689584450e+00 9.792483045952815601e+00 -8.403295072657801512e-01
6.921552010179778058e+00 6.856526670986731631e+00 -3.499377898406239140e+00
4.815575502749868342e+00 7.721823727493537959e+00 -8.128449255364120773e-01
6.704083388988364867e+00 4.819135535128630465e+00 -5.275454997914495792e+00
5.569184608940186409e-01 9.868305607580877492e+00 -4.062006630181715039e+00
2.345057426303370551e+00 2.991208559508526488e+00 4.265597136363776798e-01
5.044515689308349593e+00 7.255111541768996197e+00 -9.754341590232815662e-01
2.643008469789548398e-02 7.846828949651308172e+00 -2.696736370637156099e+00
5.802852125059715149e+00 1.737133015765300881e+00 -8.881095794978138613e+00
3.277849034160195352e+00 9.336643370722631730e+00 -3.038287927047367276e-01
6.834455380685945158e+00 6.315733566004513300e+00 -3.849760052398780275e+00
2.313556536785032147e+00 7.053446909938555720e+00 7.333520772681350053e-01
4.644365954635478744e+00 7.108877642894825044e+00 -6.097410614165728049e-01
2.324305471077251273e+00 7.540662568792332543e+00 5.834652492030709681e-01
6.680647942282824658e+00 4.317740014243614866e+00 -5.848614342514339981e+00
5.583588947679709591e+00 2.722511776039657772e+00 -6.479106049831900194e+00
8.752383323946625993e+00 7.071619459584186806e+00 -6.991844292710995390e+00
3.867599285671015963e+00 5.879510205679197909e+00 1.475751373509393005e-01
