# w_1 w_2 VF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
1.920801946452144193e+00 1.401554111728558816e+00 1.228896186904121279e+00 3.789496538066407516e-01 5.101881258005995790e-01 1.211346109755477407e+00 1.408689104602813158e+00 -4.869609200240501146e-01 -1.953937518251350897e-02 -7.359608632920301430e-01 -2.031965014723142136e-03 1.800129489915036629e-12 1.189320614648076146e-12 5.103256809189221643e-01 1.204816953669085589e-12
9.096241645382654450e-01 1.823172487028139166e+00 9.334141430660810812e+00 1.618311125943089346e-01 8.700961146255338230e-01 7.848226741517844163e-01 1.845686056320315460e+00 -1.130148791916612133e-01 -7.547294592086527532e-01 7.287671840364819964e-01 1.243802037578308900e-01 5.371343406294424969e-13 5.075006789698285756e-13 4.521206915484796940e-13 4.703552902249786413e-13
1.277212258642606679e+00 1.566551939328448384e+00 7.615090983359600330e+00 4.505102700667441007e-01 7.293851680620417888e-01 1.322558732206448484e+00 1.688198077613505932e+00 -4.522456382446395778e-02 -1.105246578902673443e-01 2.016425925973589217e-01 2.666982917523649799e-02 1.637886441058222786e-12 1.501640690048863802e-12 1.501996010205841614e-12 1.052519074500046781e-12
3.536580870685138156e-01 6.952282061846923877e-01 1.116609113880551618e+01 2.800697934569122173e-03 1.379061596936358436e-01 8.772549832059001185e-02 7.229838555532812627e-01 -1.789222890523930326e-02 -6.419018195312814479e-02 1.794904403254402037e-01 4.435633328073215753e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.151113153857698634e+00 5.707358892982372645e-01 3.444303780568528595e+00 1.251080567667830767e-01 1.130007174096674533e-01 6.876987178648188426e-01 6.526112813092341813e-01 -5.416873510779588452e-01 8.221337621975913224e-02 -6.365059488588460379e-01 1.435993780105450368e-01 0.000000000000000000e+00 1.283360019685608477e-01 5.247690821273902628e-01 2.846941432599336963e-14
8.967256065373786500e-01 3.500807413939975299e-01 3.781627610860354594e+00 1.250636772704931954e-01 1.135921131049784233e-01 6.875730607531866934e-01 6.543656565410358450e-01 -2.872633049592676624e-01 3.027142656225646489e-01 -3.825954777780179450e-01 3.638972808001922910e-01 1.357256015559744453e-12 3.488617034226506042e-01 2.703778882297916408e-01 1.099421239872682448e-12
7.034637072995381102e-01 1.231434581355647317e+00 1.037885188719426743e+01 1.375852967911347369e-01 4.009171721599446014e-01 7.221263639500475895e-01 1.246521339855260369e+00 -7.540291658006831321e-02 -3.154350742245520811e-01 4.035243144790200409e-01 7.165298156339572344e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.541080171833001833e-01 8.728290670557899977e-01 8.027259946102653032e+00 2.644013867471552981e-01 2.003782937058257441e-01 1.008599555703052930e+00 8.754965764967289621e-01 -1.762043383200336821e-01 -5.132313877101927352e-02 -3.021350645911639043e-01 8.574696544664979492e-03 4.185584170923739578e-13 3.792843860164762937e-13 1.451507728021899091e-01 3.705439817827671511e-13
8.064582443808776535e-01 4.067889583997177927e-01 5.251384792232371979e+00 1.252746771113560365e-01 1.138158196138132627e-01 6.881714616992905542e-01 6.550284570421412988e-01 -1.969883428917024171e-01 2.460560513772576952e-01 -2.927455673752074605e-01 3.072037422728170486e-01 0.000000000000000000e+00 2.922316960285970544e-01 1.800425649894447921e-01 0.000000000000000000e+00
1.316842090140358579e+00 1.554128808329091838e+00 7.344201705307325412e+00 4.965614163639236467e-01 6.988391646541032287e-01 1.389491429370610209e+00 1.652052029112712095e+00 -4.102863744074027041e-02 -5.198803243702387888e-02 1.507326958467108957e-01 2.207613077254586692e-02 5.281816650715143169e-13 4.223764350427816616e-13 5.662996113708906876e-13 3.716330628650288403e-13
