# w_1 w_2 DS VF CB_L CB_U R_DIFF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
1.346341897917735730e+00 2.014910914160819910e+00 1.000000000000000000e+00 1.615698174538918508e+00 1.160497084369493770e+01 1.162642550538290287e+01 4.226167560820398354e-06 2.530102712806207854e-02 8.879653858802072364e-04 2.987421423346215965e-01 3.089760754265169496e-02 -2.187557609933597075e-02 -5.104948044930601725e-02 1.217774389647274802e-02 5.890875417361418620e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.407230617400099471e+00 2.309454685028891063e+00 1.000000000000000000e+00 1.636246521378778240e+00 1.160337829618134542e+01 1.166911474657621461e+01 2.116231451816296253e-06 2.591081589235718838e-02 1.875578279174483498e-02 2.995599071379305700e-01 2.136375341374601167e-01 -2.725683927088295294e-02 -3.911262648708024869e-02 1.755086459706944879e-02 5.163981641620214724e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.494984940385446714e+00 2.567653767109902230e+00 1.000000000000000000e+00 1.595431527244725700e+00 1.157845902902810842e+01 1.161240402546134654e+01 5.350899455762422528e-07 2.516721786029234645e-02 4.441702426708604712e-02 2.892216754805954637e-01 4.060441355682047337e-01 -2.906073846699589250e-02 -2.619052766499230245e-02 9.372696927584911464e-03 4.410905989809454919e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.541848425023371494e+00 2.788199066600374643e+00 1.000000000000000000e+00 1.517016743582642491e+00 1.148144808043076104e+01 1.155258540673452750e+01 1.656440082332940496e-07 1.537673867136129732e-02 6.179338218093621826e-02 2.147509770945201235e-01 4.864757176348395440e-01 -2.523146235742917270e-02 -1.097760715785511820e-02 3.924427202628066880e-02 4.565433044592267370e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.738069785154774838e+00 3.016470718829988407e+00 1.000000000000000000e+00 1.408382813839123671e+00 1.139530761168318662e+01 1.142145801599506427e+01 3.316303274777842142e-07 1.921217706358628596e-02 6.711294817444812821e-02 2.251134362109528386e-01 4.958055807882768562e-01 -2.177119066167196304e-02 -9.840233661357444817e-03 1.006966879024275840e-01 4.611077090184049349e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.241553224666912758e+00 3.247024573339190923e+00 1.000000000000000000e+00 1.286770698841790406e+00 1.127026973234351992e+01 1.130327166534006444e+01 1.785389452474896803e-07 8.407442405895018678e-02 8.754469342123361031e-02 5.191200215485248792e-01 5.698118184557872112e-01 -3.646551157441883795e-02 -2.820486563383894918e-02 4.647334830929139571e-02 3.612655932971226003e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.473919966213369737e+00 3.427657369987751945e+00 1.000000000000000000e+00 1.187915624468585563e+00 1.116246164408931918e+01 1.121336960484785550e+01 7.502041028580836947e-08 5.974231359981451578e-02 1.175880669575493087e-01 4.915841031551529960e-01 6.713699948326428135e-01 -2.564761230083456578e-02 -1.696757192441467055e-02 1.725946523288257595e-02 2.974703264741022923e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.345681904709196797e+00 3.342819510365678592e+00 0.000000000000000000e+00 9.633913240256770649e-01 1.088196775468000155e+01 1.104481489337135613e+01 1.870430453367938357e-06 5.630726481102998893e-02 1.072874611803307232e-01 4.215722595417936702e-01 6.253766460710821207e-01 -3.300878764123638121e-02 -1.128192207754086240e-02 4.388693157596890160e-02 3.281052626890992863e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.180637966503014891e+00 3.286409899977974280e+00 0.000000000000000000e+00 1.054242835204489026e+00 1.097264761932897947e+01 1.113583805108000213e+01 2.064607076508778748e-06 4.555536849665975385e-02 9.914865877997769417e-02 3.641329607816214953e-01 5.967338991877078058e-01 -3.174976848874422330e-02 -1.134015119075648670e-02 7.180292032410307002e-02 3.722618951265081744e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.021889124059293774e+00 3.229709144024191847e+00 0.000000000000000000e+00 1.136589481766348442e+00 1.109516517466111551e+01 1.117801378887158492e+01 2.116456596795606693e-06 2.960720400350302928e-02 9.126494299772147656e-02 3.151618283197439307e-01 5.717745708108488145e-01 -2.731310704329104055e-02 -9.996150151926563865e-03 9.531540900496793256e-02 4.159027428546976934e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
