# w_1 w_2 VF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
9.604009732260722743e+00 7.007770558642794967e+00 -8.695806519805898915e+00 5.052712199564474149e-01 5.282965048713839096e-01 1.401789618094840151e+00 1.433817949665140645e+00 -6.078397851734733681e-01 -2.886142184701098387e-02 -7.165079071573799974e-01 2.741256480723823236e-03 2.119453592665243580e-12 1.365561201442655470e-12 5.904167675545177740e-01 1.361081820167031609e-12
4.548120822691328335e+00 9.115862435140696718e+00 -5.002038866159530528e-01 1.850839404710565295e-01 8.544262514527942720e-01 8.406608771625310172e-01 1.828811809584520720e+00 -1.141438555124580645e-01 -7.590028057713176235e-01 7.146457051572515651e-01 8.057770393728111435e-02 5.055862412756129132e-14 5.386907283091990628e-14 5.112728816702993839e-14 5.281327675535352206e-14
6.386061293213034951e+00 7.832759696642243696e+00 -2.215488817387055498e+00 4.433848853227952413e-01 6.688888930694069090e-01 1.311893897464012415e+00 1.615834881176192894e+00 -4.243213951616801871e-02 -9.254587229806135462e-02 1.597682590269829672e-01 2.024320030009778282e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.768290435342569467e+00 3.476141030923462605e+00 1.178066256021219615e+00 2.161473921924670152e-02 9.694598815259179714e-02 2.747192761507176173e-01 6.030441022187631450e-01 -3.677170355799118384e-02 -7.001356744858805090e-03 1.735323919740719700e-01 4.060446658431529632e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.755565769288494060e+00 2.853679446491186766e+00 -6.471040543057937633e+00 1.313789216486377920e-01 9.079157840884631570e-02 7.052010053530805012e-01 5.829646074451112492e-01 -4.597450662137939070e-01 8.099640701799014353e-02 -6.466362338173559099e-01 1.512536408049566239e-01 2.390030763115698339e-13 1.363287713109798960e-01 4.568282086006443254e-01 1.771511064983234315e-13
4.483628032686894471e+00 1.750403706969988038e+00 -6.133716567047957646e+00 1.313803543154094533e-01 9.070365707621982909e-02 7.052049056160505369e-01 5.826730207548508345e-01 -2.053794243965218480e-01 3.016833691608589163e-01 -3.914702575139611396e-01 3.719732580664870669e-01 0.000000000000000000e+00 3.570095703885020622e-01 2.024551673381068118e-01 0.000000000000000000e+00
3.517318536497691106e+00 6.157172906778237476e+00 4.673215438600824001e-01 8.896741615852676865e-02 4.158210744932149816e-01 5.768842315057877146e-01 1.269838909045448938e+00 -5.633173034151295333e-02 -3.365538785377683584e-01 3.771303871531426766e-01 4.266359683951800180e-02 1.012557333986141561e-12 1.039269608956241986e-12 1.010018674599266753e-12 9.857149818603971880e-13
4.770540085916501916e+00 4.364145335278950988e+00 -1.804674737026440212e+00 2.739327894344212311e-01 1.897069853398729022e-01 1.026963642388389886e+00 8.513368704087561634e-01 -1.746085736886844320e-01 -5.622060238666939935e-02 -3.142155279667920298e-01 7.831133252184978299e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.425139534056254487e-01 0.000000000000000000e+00
4.032291221904388934e+00 2.033944791998589352e+00 -4.663960722036401663e+00 1.314082334663551066e-01 9.077265495458609890e-02 7.052818300749917890e-01 5.829022455272365733e-01 -1.151349094726308586e-01 2.449585892369727236e-01 -3.016091978842646015e-01 3.152280249278526791e-01 0.000000000000000000e+00 3.002907961394465364e-01 1.122004274434059146e-01 0.000000000000000000e+00
6.584210450701793782e+00 7.770644041645460298e+00 -2.489194744796352055e+00 5.187317315052913935e-01 6.585241884679660096e-01 1.420600224230355701e+00 1.603113327669997146e+00 -4.316691065744059086e-02 -4.849356544313501022e-02 9.066459959328873608e-02 1.564942835666964516e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.082733282300016864e+00 6.700055658186665930e+00 8.167307541430339768e-01 1.782831493118735428e-02 5.334780753949990295e-01 2.477940128057413982e-01 1.440928824162969191e+00 -1.043783029509198768e-01 -6.536012406659182927e-01 7.954789574570584332e-01 7.087265417960550429e-02 5.857022766092567778e-13 5.642731290902980312e-13 5.605268853237088678e-13 5.417565267923363237e-13
1.086433942609212666e+00 5.185407257565338490e+00 5.114845209410976423e-01 2.493622672139967622e-16 2.943355976380290784e-01 2.493622672139966951e-14 1.065239357388382935e+00 -8.516297856307926406e-02 -3.871848109446430763e-01 6.723755897792825786e-01 6.974198050192079168e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.237713016366424057e+00 5.526885560824235988e+00 9.229727866743129283e-01 5.276678288338852718e-02 3.195224153282760216e-01 4.398564377647647405e-01 1.110703282780654444e+00 -8.685724946238068678e-02 -3.976384431266099528e-01 5.240253457708072826e-01 5.788238183302610307e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.816830479317998126e+00 6.751603252553008971e+00 -1.496760566369854217e+00 3.410848096458337642e-01 4.923287478806719353e-01 1.148221234197836615e+00 1.383465493417206371e+00 -2.324451154550373488e-02 -1.987430616265583368e-03 4.005163136725661127e-03 1.293542231237460212e-02 8.304616759893801436e-13 7.332735764073450291e-13 7.271868654110114072e-13 6.910749099711677168e-13
7.379596668481658739e+00 2.253904627281869910e+00 -1.091865222160348026e+01 1.313306121264916360e-01 9.066584867399198056e-02 7.050673507782284632e-01 5.825481543244359628e-01 -7.845970799978514432e-01 2.009679109436022237e-01 -9.710601852570024395e-01 2.712627170919234554e-01 1.535287847374833259e-12 2.562866795827239419e-01 7.816828372594663010e-01 1.150421338053098097e-12
8.018338373686599851e+00 6.243159389891005162e+00 -6.154132855301792659e+00 3.725247121900072123e-01 3.989852865964909068e-01 1.200860427106709816e+00 1.243463985582734521e+00 -4.112333678583952046e-01 -2.999561786565254143e-02 -5.477281889117049385e-01 4.967460986511480076e-03 0.000000000000000000e+00 0.000000000000000000e+00 4.044598673630508956e-01 0.000000000000000000e+00
1.939390584145533447e+00 1.512066116201447485e+00 -2.259040553709784405e+00 5.337524125014775356e-02 4.606522558911056719e-02 4.424948001160207145e-01 4.097223538400615594e-01 -2.942389041942860065e-02 2.185639285054159775e-01 -7.272804228504153867e-02 2.932360866302455848e-01 0.000000000000000000e+00 2.606301689945050293e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.767155119197958868e+00 9.083766285088218595e+00 -6.871456915481211070e-01 8.977988767934713676e-02 8.545272474698092369e-01 5.796001554080624230e-01 1.828921083118448143e+00 -7.357286793124483137e-02 -5.308138533905490952e-01 6.680325181413919733e-01 7.538777338246964443e-02 5.526035358471848014e-13 5.351342741329034869e-13 4.629538939704413991e-13 4.737109142449735799e-13
5.663479143666243054e+00 4.760451698222209593e+00 -3.105592614455858325e+00 2.737255959832190499e-01 2.167719791524360673e-01 1.026567384458301868e+00 9.113903150632964856e-01 -2.607763831065798010e-01 -4.768967962052268056e-02 -3.909571793360915870e-01 9.657629726088369157e-03 1.247351429403580755e-12 1.101354769893353109e-12 2.383787927816664320e-01 1.068009016501329951e-12
