# w_1 w_2 VF 
4.595863030095615365e+00 4.103774160014533656e+00 -1.818327074090122508e+00
8.568055039779712834e-01 1.225432005616414077e+00 -1.488932060593471718e+00
1.515993073223671272e+00 7.510208896527086064e-02 -4.456916413916589548e+00
5.631516313030213716e+00 6.976324271852428538e+00 -1.238642122177227023e+00
7.021302570936987841e+00 4.404226718693956322e+00 -6.256196864113009681e+00
4.052276912008643706e+00 7.322225768781144062e+00 6.455336740054740119e-02
4.498391943910404756e+00 2.110572070787954058e+00 -5.436345922880720494e+00
4.234474517441166874e+00 4.995404179837381164e+00 -1.055083508317711249e-01
5.676401221920170492e+00 9.676328177432065303e+00 -1.721281241569160514e+00
3.724378116638923597e+00 5.968254768922411024e+00 3.675422513670110192e-01
5.905917365477140191e-01 1.001818534182410625e+00 -1.870828700395579247e+00
8.518156916693770953e+00 9.786965305029331930e+00 -5.629964071650649160e+00
6.726662644457834794e+00 1.764792747903944470e+00 -1.058713081463156591e+01
2.538045747037399380e+00 8.414345130791296867e+00 7.532398455450657337e-01
2.696782584381665515e+00 8.547044971835152660e-01 -4.651244883841174627e+00
8.353775954034428963e+00 6.809186587017708625e+00 -6.294293492089311215e+00
5.736434962556554495e+00 3.857882122181254925e+00 -4.516292321896800743e+00
6.775468408080409510e+00 3.691703044896402996e+00 -6.861449119135615504e+00
3.210329449737323149e+00 7.353315848108615604e+00 5.072957716356523150e-01
5.533875185495282345e+00 1.952867020518802121e+00 -7.829545898854123109e+00
5.683668589193524578e-01 2.898170902744050981e+00 3.207822547074083985e-01
8.996056152580544918e+00 7.771798556069766661e+00 -6.942950069369546284e+00
5.827129854187135249e-01 6.274088113367800368e+00 -8.068722958969392067e-01
3.161459136201850928e+00 5.075298474640449697e+00 7.196477931493046043e-01
4.558025763111830386e+00 7.118694462724540983e+00 -2.425447983478097314e-01
7.649949880801726998e+00 2.157130999563769524e+00 -1.166071295247002304e+01
6.087967008915033951e+00 7.215241749201202204e+00 -1.794140524708383921e+00
