#T1 T2 L2 LInf 
0.000000000000000000e+00 1.000000000000000000e+00 2.910938352990217193e-01 3.570093074417898471e+00
1.000000000000000000e+00 2.000000000000000000e+00 1.848224910013653577e-01 1.531038225152901333e+00
2.000000000000000000e+00 3.000000000000000000e+00 1.550345385135579457e-01 1.045697098930639113e+00
3.000000000000000000e+00 4.000000000000000000e+00 1.422011118127727292e-01 8.414870956413421643e-01
4.000000000000000000e+00 5.000000000000000000e+00 9.732174946476052080e-02 5.546228390962468779e-01
5.000000000000000000e+00 6.000000000000000000e+00 7.828194095452564727e-02 4.110528060989527832e-01
6.000000000000000000e+00 7.000000000000000000e+00 1.026820874237116543e-01 6.317917334416274233e-01
7.000000000000000000e+00 8.000000000000000000e+00 4.283598259211096604e-02 2.001921053970852626e-01
8.000000000000000000e+00 9.000000000000000000e+00 2.518805830673651047e-02 1.191035090904525306e-01
9.000000000000000000e+00 1.000000000000000000e+01 3.171522102057922066e-02 1.891324317956191992e-01
1.000000000000000000e+01 1.100000000000000000e+01 2.333033904366639197e-02 1.076430899575696737e-01
1.100000000000000000e+01 1.200000000000000000e+01 3.018837409720193099e-02 1.959425270318416179e-01
1.200000000000000000e+01 1.300000000000000000e+01 2.046496229981809023e-02 8.657007609858627384e-02
1.300000000000000000e+01 1.400000000000000000e+01 2.348356356118060442e-02 1.246331831209904067e-01
1.400000000000000000e+01 1.500000000000000000e+01 2.095639049474131571e-02 1.191161569843634110e-01
1.500000000000000000e+01 1.600000000000000000e+01 2.222543624670936246e-02 1.263789761035857273e-01
1.600000000000000000e+01 1.700000000000000000e+01 1.848225584899466922e-02 9.790548702631378386e-02
1.700000000000000000e+01 1.800000000000000000e+01 1.906738519193659082e-02 1.128242606736393622e-01
1.800000000000000000e+01 1.900000000000000000e+01 1.874738657450977092e-02 1.127290895550917688e-01
1.900000000000000000e+01 2.000000000000000000e+01 3.232576141281143234e-02 1.745267493613163190e-01
2.000000000000000000e+01 2.100000000000000000e+01 1.421535028907105862e-02 7.223163781433235286e-02
2.100000000000000000e+01 2.200000000000000000e+01 6.563670575926228330e-03 3.594088496612725392e-02
2.200000000000000000e+01 2.300000000000000000e+01 3.924278066959357991e-03 1.741179275563803364e-02
2.300000000000000000e+01 2.400000000000000000e+01 2.756833966621435872e-03 1.782790183280444710e-02
2.400000000000000000e+01 2.500000000000000000e+01 3.766248250363356601e-03 4.498726182875736890e-02
2.500000000000000000e+01 2.600000000000000000e+01 2.300879234716363131e-03 9.565558435073128613e-03
2.600000000000000000e+01 2.700000000000000000e+01 2.449927848954668030e-03 1.022246999180400143e-02
2.700000000000000000e+01 2.800000000000000000e+01 2.284652866435032525e-03 8.798340462058917150e-03
2.800000000000000000e+01 2.900000000000000000e+01 2.130174201037791752e-03 1.145206561196506628e-02
2.900000000000000000e+01 3.000000000000000000e+01 1.969361597281480986e-03 9.033813512661494766e-03
3.000000000000000000e+01 3.100000000000000000e+01 1.747252222410745556e-03 7.779133719527618618e-03
3.100000000000000000e+01 3.200000000000000000e+01 1.603511865871875457e-03 7.267533859019415128e-03
3.200000000000000000e+01 3.300000000000000000e+01 1.458998909810604655e-03 5.907215404714599022e-03
3.300000000000000000e+01 3.400000000000000000e+01 1.279309181771859675e-03 6.884735528940984228e-03
3.400000000000000000e+01 3.500000000000000000e+01 1.451138112357936143e-03 7.622187744336651229e-03
3.500000000000000000e+01 3.600000000000000000e+01 1.867698365651039713e-03 8.170929238782749168e-03
3.600000000000000000e+01 3.700000000000000000e+01 2.255889035293704228e-03 1.012345504442532101e-02
3.700000000000000000e+01 3.800000000000000000e+01 2.494226270192247477e-03 1.136189810248412410e-02
3.800000000000000000e+01 3.900000000000000000e+01 2.347113352805207422e-03 1.119493502656193282e-02
3.900000000000000000e+01 4.000000000000000000e+01 2.363110872691364349e-03 1.189283214561233717e-02
4.000000000000000000e+01 4.100000000000000000e+01 2.944071476957864190e-03 1.196778803560768004e-02
4.100000000000000000e+01 4.200000000000000000e+01 2.277508588718619997e-03 1.086622268186837083e-02
4.200000000000000000e+01 4.300000000000000000e+01 1.909327013519001399e-03 8.367389731906454964e-03
4.300000000000000000e+01 4.400000000000000000e+01 1.547884517396184295e-03 7.237333042704761910e-03
4.400000000000000000e+01 4.500000000000000000e+01 1.476366729463981413e-03 8.340203409231848955e-03
4.500000000000000000e+01 4.600000000000000000e+01 1.298674558491095263e-03 5.768543257757394530e-03
4.600000000000000000e+01 4.700000000000000000e+01 1.764986687069043441e-03 1.002094396498670950e-02
4.700000000000000000e+01 4.800000000000000000e+01 1.935291592745166976e-03 1.085727119089267487e-02
4.800000000000000000e+01 4.900000000000000000e+01 1.960863290960392687e-03 9.862431908982805320e-03
4.900000000000000000e+01 5.000000000000000000e+01 1.620934179911096961e-03 1.018416998370646163e-02
5.000000000000000000e+01 5.100000000000000000e+01 1.213778892577088838e-03 6.510744708717106435e-03
5.100000000000000000e+01 5.200000000000000000e+01 1.680945339774427005e-03 1.785564018358314770e-02
5.200000000000000000e+01 5.300000000000000000e+01 1.044796168815192473e-03 6.734885056818266588e-03
5.300000000000000000e+01 5.400000000000000000e+01 1.383548212077965068e-03 1.423419594164656438e-02
5.400000000000000000e+01 5.500000000000000000e+01 1.943011936488705507e-03 1.147935296346554689e-02
5.500000000000000000e+01 5.600000000000000000e+01 4.043774375376438246e-03 3.547833932211559571e-02
5.600000000000000000e+01 5.700000000000000000e+01 4.018344150599301341e-03 2.217284629605944385e-02
5.700000000000000000e+01 5.800000000000000000e+01 1.630487640292195691e-03 1.329431345597110667e-02
5.800000000000000000e+01 5.900000000000000000e+01 9.482399281878154795e-04 5.758259765417458528e-03
5.900000000000000000e+01 6.000000000000000000e+01 6.745633193756580669e-04 4.942287461128238961e-03
6.000000000000000000e+01 6.100000000000000000e+01 6.834234546201297961e-04 4.177623820515815982e-03
6.100000000000000000e+01 6.200000000000000000e+01 6.363635562110466545e-04 3.028488918087788272e-03
6.200000000000000000e+01 6.300000000000000000e+01 5.278994685763821991e-04 2.609297955559679565e-03
6.300000000000000000e+01 6.400000000000000000e+01 5.093238646045831347e-04 2.027874100416094099e-03
6.400000000000000000e+01 6.500000000000000000e+01 5.539919322988597376e-04 3.785236271906956568e-03
6.500000000000000000e+01 6.600000000000000000e+01 7.092461003437170244e-04 3.275235891415425454e-03
6.600000000000000000e+01 6.700000000000000000e+01 7.090284239427212080e-04 3.198350151859634654e-03
6.700000000000000000e+01 6.800000000000000000e+01 5.212313065775072340e-04 2.372370296740524895e-03
6.800000000000000000e+01 6.900000000000000000e+01 4.158637280812268046e-04 2.056965588835727582e-03
6.900000000000000000e+01 7.000000000000000000e+01 1.005739212683173876e-03 6.574784088368933882e-03
7.000000000000000000e+01 7.100000000000000000e+01 9.548154900739102982e-04 8.693971660518369157e-03
7.100000000000000000e+01 7.200000000000000000e+01 6.236416806454855855e-04 4.894488702257934754e-03
7.200000000000000000e+01 7.300000000000000000e+01 3.550069593685320404e-04 1.940788914970831020e-03
7.300000000000000000e+01 7.400000000000000000e+01 3.311431465409542274e-04 1.580595773339625153e-03
7.400000000000000000e+01 7.500000000000000000e+01 4.009097800261081238e-04 2.113316165168158296e-03
7.500000000000000000e+01 7.600000000000000000e+01 8.945642655216400844e-04 4.159994183732274378e-03
7.600000000000000000e+01 7.700000000000000000e+01 8.855738000158482320e-04 4.377975391929606920e-03
7.700000000000000000e+01 7.800000000000000000e+01 7.119576957186285818e-04 3.559157218251342639e-03
7.800000000000000000e+01 7.900000000000000000e+01 5.666218186870854720e-04 2.697808328646255065e-03
7.900000000000000000e+01 8.000000000000000000e+01 5.041184583426267787e-04 2.343449380472010287e-03
8.000000000000000000e+01 8.100000000000000000e+01 5.934283056877097482e-04 3.807486754814349596e-03
8.100000000000000000e+01 8.200000000000000000e+01 6.283626949468504308e-04 4.286830644304296702e-03
8.200000000000000000e+01 8.300000000000000000e+01 6.391247004891352588e-04 5.117646966540079743e-03
8.300000000000000000e+01 8.400000000000000000e+01 6.302490386565940284e-04 4.787164360072860420e-03
