# w_1 w_2 VF 
4.595863030095615365e+00 4.103774160014533656e+00 8.167995170224440216e-01
8.568055039779712834e-01 1.225432005616414077e+00 1.494480912457218480e+00
1.515993073223671272e+00 7.510208896527086064e-02 2.336915972409752129e-01
5.631516313030213716e+00 6.976324271852428538e+00 -2.229303354222794908e+00
7.021302570936987841e+00 4.404226718693956322e+00 3.798208746302389471e-01
4.052276912008643706e+00 7.322225768781144062e+00 -2.833987473219169217e+00
4.498391943910404756e+00 2.110572070787954058e+00 1.365854895062510010e+00
4.234474517441166874e+00 4.995404179837381164e+00 1.361600284872093169e-01
5.676401221920170492e+00 9.676328177432065303e+00 -6.905200955428883347e+00
3.724378116638923597e+00 5.968254768922411024e+00 -9.417327457340451957e-01
5.905917365477140191e-01 1.001818534182410625e+00 1.314838862163012934e+00
8.518156916693770953e+00 9.786965305029331930e+00 -7.013510580232834357e+00
6.726662644457834794e+00 1.764792747903944470e+00 8.507390379963890581e-01
2.538045747037399380e+00 8.414345130791296867e+00 -4.728000176139177668e+00
2.696782584381665515e+00 8.547044971835152660e-01 7.962709057901502518e-01
8.353775954034428963e+00 6.809186587017708625e+00 -2.074290810531239870e+00
5.736434962556554495e+00 3.857882122181254925e+00 8.333976143621821819e-01
6.775468408080409510e+00 3.691703044896402996e+00 8.079195017926377176e-01
3.210329449737323149e+00 7.353315848108615604e+00 -2.941108763596277598e+00
5.533875185495282345e+00 1.952867020518802121e+00 1.160926257405661133e+00
5.683668589193524578e-01 2.898170902744050981e+00 1.427281541371483442e+00
8.996056152580544918e+00 7.771798556069766661e+00 -3.499431340722368944e+00
5.827129854187135249e-01 6.274088113367800368e+00 -2.286851841665340501e+00
3.161459136201850928e+00 5.075298474640449697e+00 4.152373172109768973e-02
4.558025763111830386e+00 7.118694462724540983e+00 -2.484176787460457447e+00
7.649949880801726998e+00 2.157130999563769524e+00 8.711158539808803170e-01
6.087967008915033951e+00 7.215241749201202204e+00 -2.576934084645474243e+00
7.214038206386282681e+00 1.577083517423867320e+00 6.267009635339473306e-01
9.600344738033536274e+00 9.897496961185383579e-01 -1.973089723818704400e+00
9.606082912715715239e+00 9.049739266915647562e+00 -5.793696895474569786e+00
1.066143748771708477e+00 4.542184757202225143e+00 3.966900432715174674e-01
5.855395644061953675e+00 8.143053191650427847e-01 -2.045708027435644283e-02
4.759032162117195597e+00 7.224705096251212710e-01 1.679532132693548618e-01
3.933234238643198655e+00 8.779418101020056708e-01 5.717769212205876528e-01
5.433604907911633308e-01 4.171356146301981482e+00 4.607087703188863514e-01
4.215653005326748803e-01 9.150536613088085858e+00 -7.629004177753815341e+00
3.102322027575831864e+00 5.024624349956642533e+00 9.045684090233230279e-02
9.275232196087429770e+00 5.690310522070204158e+00 -9.196653233084379764e-01
3.840747647621338245e+00 9.077824098167562639e+00 -5.929803139471916396e+00
5.817226102948672484e+00 1.172324680323971968e+00 5.082405385037400691e-01
4.404032528630208887e+00 9.882947679098926130e+00 -7.400547484110576946e+00
9.105840995284426143e+00 1.006055643949302025e+00 -1.167826763528866607e+00
2.540436475016619067e+00 5.223928132143803582e-01 4.195431930129398523e-01
2.168377328238295654e+00 9.897237375767813816e+00 -7.719132492435166526e+00
2.714906320784249871e+00 4.064693090846145829e+00 9.590791649534349261e-01
2.642221015504444992e+00 6.610124011094203667e+00 -1.874527155538091350e+00
6.636919146099347522e+00 6.352293703377592138e+00 -1.428654141229346308e+00
3.219934679927334287e+00 2.472467667999949992e+00 1.599391496652968314e+00
3.399648619754656487e+00 3.000548970022532291e+00 1.483588989183770579e+00
2.507748973325710118e+00 8.303382749453829703e+00 -4.522382362309146586e+00
9.062990160128547856e+00 4.537643902103134508e+00 1.147427764953867779e-02
8.001396573972880955e-01 3.533143696077751805e+00 1.136752367485312831e+00
1.078057902329822682e+00 7.014131185271808455e+00 -2.887669071380516428e+00
5.655435702523550212e+00 3.382447219634030500e+00 1.057975007366620090e+00
2.836521840345409107e+00 8.898046013602593618e+00 -5.656696993712104771e+00
1.652480997050758793e+00 3.678308952345000105e+00 1.205590860801747155e+00
8.444595714825005928e+00 9.079210629363599239e+00 -5.713655430416112679e+00
5.983268285096254857e+00 1.523085096511754832e+00 8.408388778916542350e-01
7.027146643559708750e+00 8.465274961239384055e+00 -4.609247719170527446e+00
5.336884019453494998e-01 5.327670419537022362e+00 -9.025961470033525558e-01
9.271222703722131087e+00 4.688427551185457176e+00 -1.489689504087454708e-01
7.179922957641876602e-01 5.831649562610638604e+00 -1.459438642923489127e+00
8.125726689998592489e-01 8.157759084556371221e+00 -4.962795901519713837e+00
3.943642413683876580e+00 5.992317043109620656e+00 -9.622753391740861417e-01
9.895032538876730399e+00 1.026520043347205924e+00 -2.412277785624612036e+00
3.774069552705154429e+00 9.838635335739548182e+00 -7.386932067602176133e+00
5.578812576557747427e+00 3.490464384103430184e+00 1.024288903718113986e+00
8.947886909417199774e+00 1.918359771181777917e+00 2.708496820414421080e-01
8.079782897353275928e+00 8.990098548943274537e+00 -5.540154886257370848e+00
3.011422646817694115e+00 3.034921982823733266e+00 1.512997148674910974e+00
7.869255953906430179e+00 9.728071012244084992e-01 -1.964447631326056154e-01
1.395654557996769629e+00 1.812088705500849661e+00 1.742333504837004554e+00
8.337912647224354767e-01 6.383297694722592119e+00 -2.182645930035507220e+00
6.630940856206124501e-01 9.393843213711173590e+00 -7.745432293362684462e+00
9.662837627910745297e+00 9.514489694912578344e+00 -6.621835968515371817e+00
9.840402367519796911e+00 5.224968208288043314e+00 -7.457526290963887305e-01
4.477211641364864825e+00 3.688138029098820159e+00 1.069291492836780932e+00
3.052582213833337832e+00 2.633863465074450655e-02 -4.835324515588599326e-01
5.297883251935645355e+00 4.003978746018264978e+00 7.969928879465424387e-01
3.732969880201826740e+00 9.676685183332745410e+00 -7.082677089667415160e+00
3.142143377849778929e+00 1.146033264200314372e+00 1.022799018042858776e+00
4.792446331982127106e+00 4.943868384536287408e+00 1.522664706280902891e-01
3.401958636497172339e+00 9.755368839785791835e+00 -7.273274917999517086e+00
1.711446724395887742e+00 2.375476419577350118e+00 1.755634602275675249e+00
6.146111500312014364e+00 8.136679205208105614e+00 -4.063705441338244739e+00
1.698040695533318489e+00 9.203985505806514311e+00 -6.399784915935017082e+00
1.929980146700929655e+00 1.315860742832531294e+00 1.454743160487849352e+00
7.672744872323623566e-01 2.346282599112004430e+00 1.693499584478557196e+00
3.981148974144549602e+00 4.954636982893256270e-01 1.527022998197757886e-02
7.211778481087219639e+00 4.054035811669085554e+00 5.756287618132756023e-01
6.538936662395753885e+00 8.514255429456110136e+00 -4.711729611037300813e+00
2.749043453619969934e+00 9.409284115229352707e+00 -6.674956982547884721e+00
3.738007278778986975e-01 7.725820513152878988e+00 -4.836550507840003732e+00
7.046642253481504525e+00 3.092046004332639764e-01 -1.196924315067009914e+00
5.341198404357469620e+00 8.541331081264251779e+00 -4.821268096653513524e+00
7.247676335444670492e+00 5.000948199252354343e+00 -1.015975339105370523e-01
2.143120370631607319e+00 4.701785403771837402e+00 3.513057522359286367e-01
5.414807261958055840e+00 5.161034897565084378e+00 -8.833199969376615002e-02
4.676600381841437226e+00 9.147141627411988551e+00 -5.982044371165104124e+00
5.513390602519657513e+00 1.682464010430368972e+00 1.041915621142832649e+00
5.466072403980466454e+00 4.394525363528005713e+00 5.247045782743935405e-01
6.188581242854973574e+00 5.163477982050253878e+00 -1.555805520911253126e-01
9.247836839945893672e+00 6.410171329736208179e+00 -1.646576352679405275e+00
5.168122157548991069e+00 3.082959434486765016e+00 1.210662649711592209e+00
2.937853608598449129e-01 8.598245638633796872e+00 -6.669827068428277883e+00
7.816122299214413038e-01 1.545869293050693871e+00 1.633949375362133694e+00
5.161006690836092758e+00 1.632124917681210485e+00 1.075315489579223183e+00
3.411590121902809969e+00 8.756849731076556509e+00 -5.361169015988709319e+00
6.765529524699833708e+00 8.962881002516270845e-01 -1.143390210054366918e-01
