# w_1 w_2 DS VF CB_L CB_U R_DIFF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
1.408598996610797238e+00 2.376726921585908148e+00 1.000000000000000000e+00 1.774672032015162770e+00 1.176557205459745248e+01 1.178377200943287662e+01 5.576049497498969256e-07 3.280091513897534505e-02 1.387166140232926233e-02 3.427765342862190145e-01 1.360305259587941684e-01 -3.259326618766154177e-02 -4.594716935358381105e-02 7.271948193095722004e-03 4.598746749840373904e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.444958737576276020e+00 2.606664259077926982e+00 1.000000000000000000e+00 1.734719142280248150e+00 1.170354289223507926e+01 1.176589539232542059e+01 6.172870962200871032e-07 2.664791359301099671e-02 3.132545330936746530e-02 3.011148037993062188e-01 2.218637025286344100e-01 -3.232838121537984222e-02 0.000000000000000000e+00 1.297695143688883807e-02 4.157225832678278915e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.509843494760720217e+00 2.814525550711841184e+00 1.000000000000000000e+00 1.674354146157778445e+00 1.165311264907536071e+01 1.169559564324019973e+01 6.951276664136423015e-07 2.138223311020158793e-02 5.035187747168675537e-02 2.691859365189052111e-01 3.028171294014311843e-01 -3.115478476772848629e-02 0.000000000000000000e+00 1.142505634430344280e-02 3.820973154239908076e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.566968776482237535e+00 3.005574208423836602e+00 1.000000000000000000e+00 1.599072243801158422e+00 1.158086978624715790e+01 1.161727470135516249e+01 7.733744217556552901e-07 1.724617402049868214e-02 6.568172475576003477e-02 2.479628870698978027e-01 3.749826789412347705e-01 -3.113072691845970505e-02 0.000000000000000000e+00 3.436775290116705212e-02 3.734433556463782194e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.738807540988072775e+00 3.192295886247025205e+00 1.000000000000000000e+00 1.508560590890441588e+00 1.147037585390026493e+01 1.154674532788062180e+01 8.424991480502424607e-07 2.547327594573172219e-02 7.602917028439803993e-02 2.907305680529814196e-01 4.438203672854926785e-01 -3.250517845590186056e-02 0.000000000000000000e+00 6.853586502508907108e-02 3.737846058431607693e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.081486866113518186e+00 3.379188189168605749e+00 1.000000000000000000e+00 1.404916491087286445e+00 1.135780282277791109e+01 1.145203015939666535e+01 9.264018227169016631e-07 5.142712157994572264e-02 8.540576946884814724e-02 4.115947095041398995e-01 5.118388257054151680e-01 -3.413282551342173426e-02 0.000000000000000000e+00 7.377302797594195716e-02 3.535737353920954257e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.450352005993228222e+00 3.555975056864653538e+00 1.000000000000000000e+00 1.303532879856222237e+00 1.126776083002026851e+01 1.133930492969217951e+01 1.047046105492806682e-06 2.212161693618641678e-02 9.883134859679858220e-02 3.682610169543892864e-01 5.752360750899061514e-01 -1.563364591369598502e-02 0.000000000000000000e+00 4.738592984428430938e-02 3.081224110754334986e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.687281655214650122e+00 3.710036262402370166e+00 1.000000000000000000e+00 1.209646321863386831e+00 1.119907292099763474e+01 1.122021972272914248e+01 1.169756617890205023e-06 2.826526732502035802e-02 1.147043790951341874e-01 3.157400108796366012e-01 6.295342190250207137e-01 -2.612275668142515547e-03 0.000000000000000000e+00 2.684478272739617213e-02 2.755303410989712321e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.821505568851631285e+00 3.847801432951855727e+00 1.000000000000000000e+00 1.119471249629926390e+00 1.108923783602281965e+01 1.114970466323703668e+01 1.301374768290363844e-06 3.288796131030838343e-02 1.308921544077383536e-01 3.255658866361669790e-01 6.768187404964696174e-01 -8.831533280220174456e-04 0.000000000000000000e+00 2.225953795570087199e-02 2.533607950403666403e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.932803258630135801e+00 3.974481830472039512e+00 1.000000000000000000e+00 1.030775006135449701e+00 1.099376811896935280e+01 1.106778189330155016e+01 1.444603660207490720e-06 4.397398302074820992e-02 1.469427961803232707e-01 3.773069950577347398e-01 7.188197593069819424e-01 -4.613166377012761429e-03 0.000000000000000000e+00 1.728140182502781869e-02 2.334480268888698001e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.909737426745071520e+00 3.974481830472039512e+00 0.000000000000000000e+00 8.285613797728856866e-01 1.077595095243398227e+01 1.088117180711179266e+01 1.165559789346017239e-06 4.055504956873973166e-02 1.472995482992994765e-01 3.952364659859915474e-01 7.498165045769424886e-01 -3.496665127863365224e-03 1.435594875670101640e-02 1.864182285648903481e-02 2.444271979493681940e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.892254101105754760e+00 4.046261574255544780e+00 0.000000000000000000e+00 8.662042094053941099e-01 1.081501935594204866e+01 1.091738906286874311e+01 1.155898719609012169e-06 3.611317928742448224e-02 1.584841119615975347e-01 3.716386500248246016e-01 7.752067292378670427e-01 -2.682535549412777207e-03 1.867178063877713168e-03 2.835375530304705405e-02 2.400224768198367178e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.878841423358690754e+00 4.055597464574932864e+00 0.000000000000000000e+00 8.759525871616542503e-01 1.082614832986606324e+01 1.092575684445724882e+01 1.147835304118798064e-06 3.407228449970016448e-02 1.600294847644080642e-01 3.603196146279900591e-01 7.784602325413642054e-01 -2.334676626397729198e-03 -5.360310399370427862e-04 3.212782090402918622e-02 2.412922770434345471e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
