# w_1 w_2 w_3 w_4 VF c_1 c_2 c_3 c_4 u_1 u_2 u_3 u_4 fut_util_1_1 fut_util_2_1 fut_util_3_1 fut_util_4_1 fut_util_1_2 fut_util_2_2 fut_util_3_2 fut_util_4_2 fut_util_1_3 fut_util_2_3 fut_util_3_3 fut_util_4_3 fut_util_1_4 fut_util_2_4 fut_util_3_4 fut_util_4_4 pen_1 pen_2 pen_3 pen_4 pen_u_1 pen_u_2 pen_u_3 pen_u_4 
9.604009732260722743e+00 7.007770558642794967e+00 4.548120822691328335e+00 9.115862435140696718e+00 -1.085927351282695774e+01 1.534786587302315874e+00 4.687293147058963605e+00 1.663883316397120338e-01 3.393292934192173149e+00 7.637822985782356966e+00 1.349422240594891775e+01 2.387572852228220910e+00 1.145211214193996341e+01 -2.403333979353408090e+00 -7.254793977031924079e+00 -1.562060869981897504e+01 -1.288055991863576821e+01 -6.339291062259289067e-02 -1.732433676235659303e-01 2.720393377312536193e-02 -9.243780573618455065e+00 -1.056017912249432644e+00 4.999883336714384008e+00 -4.726567863020122440e-01 -6.593189173624396382e+00 -5.109318571187221103e+00 -2.264291007682240231e+00 -1.702850621432361677e+01 1.565333256472341672e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.528071131275968275e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.386061293213034951e+00 7.832759696642243696e+00 1.768290435342569467e+00 3.476141030923462605e+00 -7.728469553223385802e+00 3.317267964211019216e-01 2.516758959982877464e+00 1.525422225267524023e+00 3.787811521320270103e+00 3.448165152918361009e+00 9.835455068350453800e+00 7.613890775495859131e+00 1.211066458183047878e+01 3.627772904734027221e-02 -3.267573813955841344e-01 -6.516708432763472558e+00 -2.369122827778642915e+00 3.806251900752889022e-02 1.116074134137717833e+00 -6.976865220142292934e+00 -6.852752085643583513e+00 -4.456028568542509949e-01 1.395879832692737299e+00 -9.084612593560251748e-01 7.102810330458380506e+00 -8.442562138958219220e-02 -1.673467261982024279e-02 -3.125861671527278673e+00 -2.695357296724266716e-01 1.415121974520740985e-12 1.244915500266297367e-12 1.213815298831887573e-12 1.217755981919050534e-12 4.782854989926032391e-02 1.161588767417478068e-12 1.205749129105063611e-12 1.195996278836225002e-12
5.755565769288494060e+00 2.853679446491186766e+00 4.483628032686894471e+00 1.750403706969988038e+00 -1.296489455959320658e+01 5.384824372574489315e-01 0.000000000000000000e+00 3.607138584410504389e+00 2.994514638463825040e+00 4.445353265967962209e+00 0.000000000000000000e+00 1.181355664986944021e+01 1.074625897465344870e+01 -5.786909226103524873e+00 -4.866488927435302259e+00 -6.620992366632865611e+00 5.260442283167974381e-02 -5.550646687173010907e-01 6.478575912158291983e-01 -2.196998647238184610e+00 -2.063915574564366029e+00 -2.863325161088861592e-01 -2.877313165083683622e+00 1.919858894475268835e-02 1.664332420195839379e+00 2.240800291540378630e+00 3.443722551477742755e+00 -1.212032995968103544e+00 2.249693776517483812e+00 1.059279201494575062e-12 9.639972109868184100e-13 9.552413906270418719e-13 2.950542080612723050e-01 5.902460187969119643e-01 9.183092195323194991e-13 9.367218080983545705e-13 9.203069065565299662e-13
3.517318536497691106e+00 6.157172906778237476e+00 4.770540085916501916e+00 4.364145335278950988e+00 -1.599592801882364412e+00 3.411664596877903022e-01 1.739744381222291025e+00 9.122717281142994850e+00 2.862373918001228090e-01 3.499557053265032192e+00 8.144446966090461260e+00 1.890363031589982867e+01 3.189615859062044478e+00 -3.405062117776830322e-01 5.133462086865542062e+00 -2.246786520354032923e+00 1.179006915784816378e+01 -2.017376732419408070e-01 1.196614974795162212e+00 -5.693811003506032975e-01 -1.727374539878812343e-01 7.796522800139322751e-01 -1.354716199402362431e+00 -9.319114158375606527e-01 -4.614464226765777610e+00 -2.649262089051424018e-01 -7.376432949238523329e-03 -2.320645005442426800e+00 5.431603567197953453e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.032291221904388934e+00 2.033944791998589352e+00 6.584210450701793782e+00 7.770644041645460298e+00 -4.578850901943217089e+00 1.271959659098962803e+00 5.983024243965197053e-01 2.570622639517305519e+00 1.672110788678246918e+00 6.935712159743813388e+00 4.696134664583088814e+00 9.942233756984322213e+00 7.980735391585412231e+00 -2.081924550377868055e+00 -4.236953269410792977e+00 -3.729607194022047878e+00 -3.575089777543732250e+00 1.374362723150971854e+00 2.195334925941581972e+00 -7.576733434975839732e-01 -2.295049470277664927e+00 -7.709555647337733575e-01 1.633884908597204033e-01 4.208294735068227044e-02 4.725393641066973238e+00 -1.398564542498564212e+00 3.462724703856272929e-02 -3.220834018195018467e-01 1.050982937469507439e+00 5.619728620442302619e-13 2.035770720876930451e-01 4.682176781536831044e-13 5.000599353438480700e-13 1.983763903218099256e-01 5.015745848171992982e-13 4.429827969913924463e-13 4.036564288680321272e-13
2.082733282300016864e+00 6.700055658186665930e+00 1.086433942609212666e+00 5.185407257565338490e+00 -3.597108413087891421e+00 0.000000000000000000e+00 2.531027812881688099e+00 3.569216863460141997e+00 5.002338028979233187e+00 0.000000000000000000e+00 9.863861442996501694e+00 1.175025834625619936e+01 1.394685552195856104e+01 -8.197599305703787698e-01 1.200317290477517851e+01 -2.359595918418020410e+00 -9.341866421809253973e-01 -3.687582135467041500e+00 1.675506201453521138e+00 -1.240787796722682046e+01 1.175159162820402114e+00 -8.516297856199449567e-01 7.642075116204474661e+00 -2.157214046324580803e+00 1.253783923998343042e+01 -1.017696649720165464e-01 7.850344862310386640e-01 2.790156739837093905e-02 3.313684774556912571e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.237713016366424057e+00 5.526885560824235988e+00 5.816830479317998126e+00 6.751603252553008971e+00 8.921127719145349744e-01 7.794463608124031773e-02 3.065180102399190254e+00 9.966761488494464416e+00 9.980163686772650422e+00 1.577016462242810890e+00 1.087462096472486728e+01 1.976773546348916355e+01 1.978115480824226680e+01 -5.916135322947222441e-01 5.512300254823036205e+00 -4.475426032732702453e+00 1.532557394226827796e+01 -4.015274332106851141e+00 9.335646131191083219e-01 -8.161333102225448499e+00 -5.317809709235104876e+00 3.919992566787490751e-01 3.757373585090317269e-01 -1.153058795624224420e+00 8.167339016365154691e+00 2.920854746021307735e-02 4.582468863952045557e-01 -7.757958878624639176e+00 -5.313679851066819282e-01 8.840967644389505220e-13 8.940779431913792319e-13 8.721742900388301128e-13 8.670496195822301384e-13 8.623261474457674658e-13 8.576757468299611720e-13 8.797446232879928990e-13 8.667765972522866727e-13
7.379596668481658739e+00 2.253904627281869910e+00 8.018338373686599851e+00 6.243159389891005162e+00 -1.100759370001813586e+01 9.016443299537684197e-01 2.754104088678911988e-01 3.725405162986630270e+00 3.895025003171273870e+00 5.808813481745000118e+00 3.125119033661343249e+00 1.200885770920279150e+01 1.228362928507700680e+01 -9.386211267502018174e+00 -1.148670583270916978e+01 -1.007510507054764659e+01 -6.420813795290142068e+00 1.491734260868888828e-01 1.075986716636892160e+00 -1.991870907230829379e+00 -1.941872468524503237e+00 -4.276150365740544856e+00 -4.729721510883000413e+00 9.209165110312655944e-01 -7.269032267873814845e+00 -2.022673603180312474e-01 7.245459302274527280e-01 -4.166662736239826970e+00 -2.930663199300158617e-01 1.164159328985434117e-12 8.379827162183250966e-02 1.124479417593388588e-12 1.098519138599205657e-12 9.350491819609585420e-01 1.106403359315316002e-12 1.112721923046537080e-12 1.118245225624153489e-12
1.939390584145533447e+00 1.512066116201447485e+00 4.767155119197958868e+00 9.083766285088218595e+00 -2.039184332667378641e+00 2.196408596033239125e-01 7.521044287609955983e-03 6.354613824510978171e-02 8.220602345049838888e+00 2.770796933269851881e+00 3.838183762182330039e-01 1.406812226063351101e+00 1.793461038462327295e+01 8.764981765312233886e-02 -1.674895616575570179e+00 -5.995694405229318180e-01 6.530616187098391201e+00 4.678768786933598101e-01 1.562114011144477566e+00 -7.089862937162940693e-01 -1.204390630545710383e+00 -3.995948325564659398e-01 2.259462565994717398e+00 -2.480409762003458196e-01 -1.442828166498595577e+00 -5.368534305928402972e+00 -3.322047017870680907e+00 -9.420667086204785434e+00 7.932777834419179053e-01 0.000000000000000000e+00 1.109957636796426866e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.663479143666243054e+00 4.760451698222209593e+00 7.881378241924767991e+00 3.643089003364675893e+00 -7.301145957720546420e+00 8.335997318585197657e-01 1.224405969650133215e-02 8.324857470397391879e+00 9.995010137379555459e+00 5.577887964237895346e+00 5.278556486257685032e-01 1.804922734846315890e+01 1.979600973932505070e+01 -1.823425925240883760e+00 1.163427705107685367e-01 -1.132695828733232268e+01 8.474041687668524503e+00 -1.525345984512665176e-01 1.049836845330873958e+00 -9.520903396444373001e+00 -9.520903396444198918e+00 -6.534378098278081026e+00 -9.070360733820752586e+00 8.761581453257681895e-01 -1.576275648384949690e+01 -1.204920379738391167e+00 -2.548935954777298892e-03 -7.286178006729345569e+00 -2.143454946032621322e+00 2.961010851386305237e-13 2.935552191954404755e-13 2.675944218737284337e-13 2.532486490135471181e-13 2.170441979013803813e-01 2.423840750505334984e-13 2.574209619107998939e-13 2.687307430472127630e-13
