# w_1 w_2 w_3 w_4 VF 
2.153374139734721970e-01 6.828240540667069869e-01 6.229387147327798691e-02 9.376068619219396494e-02 -3.509914527365802783e+00
2.127641799598133654e-01 9.646744608890650552e-01 5.248047142832950041e-01 7.723283517907977291e-01 -4.753770626102992836e+00
1.864929129085247383e-01 6.743972520850312069e-01 3.111989902799179308e-01 7.562986217675669032e-01 -1.923989413762045686e+00
9.464358514742522432e-01 9.580618927492110526e-01 1.585575825053102406e-01 7.580527868042241657e-01 1.564912256847303951e-01
2.756073608009310116e-01 8.527688073779621236e-01 1.046188653277787400e-01 8.133431393171419721e-01 -1.948883280869781132e+00
4.572432255636011411e-01 6.153205767314531283e-01 1.589541154457031480e-01 4.374784810146697400e-01 7.715311434329432672e-01
3.953913841915009386e-01 9.362919782919578715e-01 3.212867938932441603e-01 8.487680864663177394e-01 -1.042026887108955080e+00
1.268553042920440299e-01 7.053809758373046357e-01 1.297601583538589842e-01 4.900365378916531900e-01 -2.112321080204127455e+00
2.883423053316364615e-01 4.554891897569424697e-01 3.028721569536080849e-01 7.083727691505972146e-01 -1.440945786847466437e+00
2.802958157841583531e-01 2.910779560621753470e-01 1.492688478580596889e-01 4.201948465849248415e-01 -1.617583834163484724e+00
6.210909852525609010e-01 6.973847242239703537e-01 7.526967483414117588e-01 8.809832370954949754e-01 -4.902040863477923338e+00
5.693739776703305999e-01 6.487745926530730234e-01 7.958023834974120581e-01 8.693921334729561856e-01 -6.117530882516811985e+00
2.433913530250076396e-01 2.927687990596350431e-01 1.507642130371034672e-01 7.227365459684381710e-01 -3.018662357193685253e+00
1.501844572604438266e-01 6.385886046049642495e-01 6.223512652886867974e-02 7.022847153159899047e-01 -3.134286803985618874e+00
9.078147504229477915e-01 9.392844511408285912e-01 6.409595422839729773e-02 9.833453644745433486e-01 -1.299204388370137409e+00
4.386154812124255509e-01 5.081045702208070169e-01 6.135262844582306530e-01 9.860589437579816430e-01 -4.807282920536467330e+00
4.073254125770013334e-01 5.903420116794327877e-01 2.803633691061097055e-01 5.024809351609567099e-01 2.978067342856913768e-01
2.990504116359773423e-01 5.693721224829791927e-01 9.297162579095416546e-02 5.337199726617840589e-01 -7.522911511223089320e-01
1.276446389624540621e-02 3.940516057846267239e-01 3.710438548968494898e-01 4.396880925516116756e-01 -5.210275025949231420e+00
4.372917151138420722e-01 5.273250970363149159e-01 5.461416611322176262e-01 5.988022875005838408e-01 -2.926940614004047703e+00
7.870257798822773987e-01 8.216826895639898209e-01 3.582569470668873768e-01 9.572195258777462801e-01 -3.999920714035969382e-01
5.648784480110242701e-01 8.927353134996783846e-01 4.624669490459475951e-01 9.720923472258163889e-01 -1.448327698342923853e+00
3.197525416995859043e-02 5.447230414659905984e-01 3.306864885503899010e-01 5.574427114736564270e-01 -3.736397623596795725e+00
5.222218622177268732e-02 2.252647166300643378e-01 1.147158117391175458e-01 6.678355775243843828e-01 -4.028424460772599858e+00
