# w_1 w_2 w_3 w_4 VF 
2.153374139734721970e-01 6.828240540667069869e-01 6.229387147327798691e-02 9.376068619219396494e-02 -8.303291041816409646e+00
2.127641799598133654e-01 9.646744608890650552e-01 5.248047142832950041e-01 7.723283517907977291e-01 -9.500348823844735335e-01
1.864929129085247383e-01 6.743972520850312069e-01 3.111989902799179308e-01 7.562986217675669032e-01 -1.257574968069024024e+00
2.756073608009310116e-01 8.527688073779621236e-01 1.046188653277787400e-01 8.133431393171419721e-01 -4.624441026292595680e+00
4.572432255636011411e-01 6.153205767314531283e-01 1.589541154457031480e-01 4.374784810146697400e-01 -4.909585479249651385e+00
3.953913841915009386e-01 9.362919782919578715e-01 3.212867938932441603e-01 8.487680864663177394e-01 -2.786563424717821036e+00
1.268553042920440299e-01 7.053809758373046357e-01 1.297601583538589842e-01 4.900365378916531900e-01 -3.951756853749722964e+00
2.883423053316364615e-01 4.554891897569424697e-01 3.028721569536080849e-01 7.083727691505972146e-01 -1.327501248354822749e+00
2.802958157841583531e-01 2.910779560621753470e-01 1.492688478580596889e-01 4.201948465849248415e-01 -4.762537651085617441e+00
6.210909852525609010e-01 6.973847242239703537e-01 7.526967483414117588e-01 8.809832370954949754e-01 -2.506885459339800448e+00
5.693739776703305999e-01 6.487745926530730234e-01 7.958023834974120581e-01 8.693921334729561856e-01 -1.912835109163994574e+00
2.433913530250076396e-01 2.927687990596350431e-01 1.507642130371034672e-01 7.227365459684381710e-01 -4.365056148882539233e+00
1.501844572604438266e-01 6.385886046049642495e-01 6.223512652886867974e-02 7.022847153159899047e-01 -4.767639066518755797e+00
4.386154812124255509e-01 5.081045702208070169e-01 6.135262844582306530e-01 9.860589437579816430e-01 -1.777478700588625671e+00
4.073254125770013334e-01 5.903420116794327877e-01 2.803633691061097055e-01 5.024809351609567099e-01 -2.727610940281758545e+00
2.990504116359773423e-01 5.693721224829791927e-01 9.297162579095416546e-02 5.337199726617840589e-01 -3.998164075845012988e+00
1.276446389624540621e-02 3.940516057846267239e-01 3.710438548968494898e-01 4.396880925516116756e-01 -1.399494821303187919e+00
4.372917151138420722e-01 5.273250970363149159e-01 5.461416611322176262e-01 5.988022875005838408e-01 -1.051960804959096052e+00
5.648784480110242701e-01 8.927353134996783846e-01 4.624669490459475951e-01 9.720923472258163889e-01 -3.782101434144808039e+00
3.197525416995859043e-02 5.447230414659905984e-01 3.306864885503899010e-01 5.574427114736564270e-01 -1.560733057231916021e+00
5.222218622177268732e-02 2.252647166300643378e-01 1.147158117391175458e-01 6.678355775243843828e-01 -4.045731766065758350e+00
8.694764623676096149e-02 6.898855958489908957e-01 7.043893879814225878e-01 7.854027155991255560e-01 4.652543774128581333e-02
1.307695619302172707e-01 5.938686143782915261e-01 9.031730279511018811e-01 9.090007885284646649e-01 4.103625682329532509e-01
7.155533446276553244e-02 8.837991243489228266e-01 5.387570920088408793e-02 8.828615779821191722e-01 -5.520303868033979100e+00
2.145392697261407078e-01 8.638824334101036229e-01 8.593089565385175765e-01 9.775556308786539361e-01 -2.041628423134884684e-01
1.005967619160785254e-01 8.497916733323855887e-01 2.561214537942234637e-01 4.328710795716825821e-01 -4.036247474697356452e+00
2.498381647767617397e-01 4.511814447727724997e-01 1.914465971888424378e-01 9.070052883994583759e-01 -3.432819754189738504e+00
6.264019108892956433e-01 8.560506946664593331e-01 1.606125838014269558e-01 6.247714621407638447e-01 -7.771905257600367989e+00
