# w_1 w_2 w_3 w_4 DS VF CB_L CB_U R_DIFF c_1 c_2 c_3 c_4 u_1 u_2 u_3 u_4 fut_util_1_1 fut_util_2_1 fut_util_3_1 fut_util_4_1 fut_util_1_2 fut_util_2_2 fut_util_3_2 fut_util_4_2 fut_util_1_3 fut_util_2_3 fut_util_3_3 fut_util_4_3 fut_util_1_4 fut_util_2_4 fut_util_3_4 fut_util_4_4 pen_1 pen_2 pen_3 pen_4 pen_u_1 pen_u_2 pen_u_3 pen_u_4 
1.115788253704336652e+00 2.207794068383483133e+00 5.668415356769296309e+00 6.710061017978794062e+00 1.000000000000000000e+00 1.607422252985102773e+00 1.160175206870118814e+01 1.161309243726902096e+01 9.385727792121789575e-06 4.639628435064820138e-09 9.488554357573196485e-03 3.228540921227409655e-01 3.591857012012746875e-01 2.500706247547523628e-07 1.758425815699300454e-01 9.458686939743463640e-01 1.026815630856050543e+00 -5.538363768771144974e-03 2.836077103426024731e-02 -1.584871799542601767e-01 7.024989702283569448e-01 -2.951554880244108836e-02 5.985743268270361794e-02 -2.099845460158212551e-01 -1.523339019347285384e-01 7.010740245499057222e-02 4.059139824116553968e-02 -1.323063549898115081e-02 -2.327501283745422034e-01 1.630994059483607816e-02 7.230536728508980826e-02 -5.216123086460138225e-01 7.146943772811943651e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.257592108875638104e+00 2.507081231797001486e+00 5.871372347975124306e+00 7.071587854404242535e+00 1.000000000000000000e+00 1.577891988255782252e+00 1.130641797700570272e+01 1.184936599950586533e+01 1.065284647911078686e-06 0.000000000000000000e+00 2.921996640603609710e-02 3.221276183544460880e-01 3.546604213021464225e-01 6.596385318172809896e-03 3.216511931713174621e-01 9.491851635082101390e-01 1.018569796419769746e+00 -7.287508845970271099e-03 5.036080361003705819e-02 -1.682946608319919601e-01 6.769371630978687771e-01 -2.121382241420336282e-02 5.455044533601628720e-02 -2.132036604544949032e-01 -1.545734534489964507e-01 3.847753763162215651e-02 2.627278000979639885e-02 -2.889119544601035164e-03 -2.779219072691602177e-01 -4.741075123968815919e-02 2.372522164303328927e-03 -5.219696111234302105e-01 7.518115702182426308e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.509396126925823589e+00 2.779833458477082964e+00 6.002736248024106658e+00 7.083450465225759274e+00 1.000000000000000000e+00 1.504067950421513089e+00 1.121851317864451225e+01 1.178962272219851748e+01 8.621860284065365444e-06 4.574193219311125519e-03 5.156259060798090710e-02 3.305616298515319795e-01 3.559039455491928572e-01 1.077063355685995427e-01 4.347256110581647071e-01 9.746831919231814245e-01 1.019837260278313673e+00 -1.351558770903457142e-02 4.911656187889316960e-02 -1.779870489673723855e-01 7.371734065411529313e-01 -1.816404674122096274e-02 4.876259747800899824e-02 -2.098377579435607154e-01 -1.700808302229062929e-01 3.958247184255308387e-02 5.915131932632552297e-02 1.537478941418644321e-03 -3.172060470485829620e-01 -2.632041847219898298e-02 5.085579502111422373e-02 -5.212566545078797242e-01 7.395170700605917247e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.754978936320289673e+00 3.023646445867128385e+00 6.298492844655734224e+00 7.337729440331330011e+00 1.000000000000000000e+00 1.404611788943402217e+00 1.110457725944742080e+01 1.170464631843938719e+01 1.118258203612144667e-05 1.157600473040633175e-02 7.604243687545067520e-02 3.305057985107928142e-01 3.747002040012867852e-01 1.863867818821181022e-01 5.300129937559471260e-01 9.929894682197133449e-01 1.067472452584779408e+00 -1.684461903932614815e-02 4.823027066768834775e-02 -1.856134812353886498e-01 8.298646277249984715e-01 -1.216126902268657717e-02 4.340278947389119429e-02 -2.129746688346677019e-01 -1.912554583002924469e-01 -2.349636383129974360e-02 1.065106184767409675e-01 -5.512851869141031751e-03 -3.368412965882641164e-01 -8.376843173157226541e-02 9.524783951822923811e-02 -5.309441352206812903e-01 6.288392871106593396e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.996130289658731405e+00 3.240660393236584280e+00 6.831045937039439409e+00 7.813968637922476645e+00 1.000000000000000000e+00 1.297036263249417232e+00 1.096360122829380224e+01 1.163047129820503578e+01 1.322944870128139311e-05 2.212161215462471464e-02 9.420805146333305347e-02 3.424314249595592496e-01 4.541562582120784453e-01 2.682507632774192574e-01 5.953534121557473302e-01 1.009763556053675959e+00 1.181380367929870445e+00 -2.086635346126546053e-02 4.933383960496361825e-02 -1.849044273052699028e-01 8.112341421914618378e-01 -1.408104380904828638e-02 4.002119492151946095e-02 -2.120600954483406742e-01 -2.016150504133970844e-01 -6.494098912576658222e-02 -1.260428727591556865e-02 1.352381524280823338e-03 -4.100536221465240216e-01 -1.352136346277074685e-01 -3.330800244991131975e-02 -6.299729670389410119e-01 5.124316891234053511e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.242799487683549753e+00 3.440766367844181328e+00 6.768024500659861609e+00 7.647428625672920255e+00 1.000000000000000000e+00 1.177772122815611056e+00 1.086839082935558132e+01 1.148715341627564435e+01 3.661000128888429791e-06 3.441744163791977951e-02 1.091405649956479346e-01 3.560864518666777001e-01 4.298023013914080148e-01 3.400698786154537356e-01 6.414459883751105762e-01 1.034729099760454796e+00 1.145415173895369065e+00 -2.326488385383332358e-02 5.389509885679771850e-02 -1.861303053037370592e-01 7.059374786215989461e-01 -7.685937592023253662e-03 3.838878441942866759e-02 -2.138485824192676577e-01 -1.994517908115864546e-01 -6.682789022537941048e-02 3.013856138226892953e-02 4.922984225443686329e-03 -3.737780281377076075e-01 -1.044696062784055135e-01 -1.480498952840967122e-02 -6.016209330917707820e-01 5.386327053676488730e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.512274981967538512e+00 3.632710289941325055e+00 6.918717307571206732e+00 7.573403678030871333e+00 1.000000000000000000e+00 1.054586925608003156e+00 1.077845521549529550e+01 1.133071863572071436e+01 2.960882765180170736e-07 2.735221753973070616e-02 1.243329245205472278e-01 3.339240224803180501e-01 4.135969235589675996e-01 2.943263049148761579e-01 6.849670497762888610e-01 9.934449455958371811e-01 1.124076885355651090e+00 -8.149244862920717453e-03 4.751639858287181467e-02 -1.975174779648240231e-01 5.558185943647885319e-01 -1.417327675123679961e-03 3.601728701513285530e-02 -2.205317346383096067e-01 -2.003962803234815571e-01 -6.107563151373248539e-02 4.245029058468694633e-02 1.643629232183154570e-02 -4.475744518187669274e-01 -5.583088546001772207e-02 3.019390998601358470e-02 -5.861938217193182199e-01 5.378828701633891346e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.471528757652934782e+00 3.625623651565706762e+00 6.613339150002544464e+00 7.294249250730782563e+00 0.000000000000000000e+00 9.499333675902814633e-01 1.034425288508085750e+01 1.155561385009970898e+01 2.827396713076674929e-05 2.306845732321690171e-02 1.278706833616940763e-01 3.998762659470093128e-01 4.364145280453614051e-01 2.804899938343587973e-01 6.949091876776188892e-01 1.249060751258000090e+00 1.166671965901310504e+00 -7.851149479724641930e-03 5.014567518194019968e-02 -2.620593554578324880e-01 5.676671506616737251e-01 1.226115363691457349e-02 3.561663416370589030e-02 -3.056339172730742626e-01 -2.485470653433383692e-01 -6.597623321537883501e-02 5.753963679444875495e-02 -1.103566326520483837e-02 -4.722800595203054952e-01 -4.802045906609769127e-02 6.114940212516493251e-02 -6.260613538476943463e-01 5.888692458948074915e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.432273010254311529e+00 3.686929419750279546e+00 6.283457983925650581e+00 7.054146955400294239e+00 0.000000000000000000e+00 9.889940468336479995e-01 1.037195543998756797e+01 1.160603265367973158e+01 1.883828859034135345e-05 2.047394697780154441e-02 1.373029868019372268e-01 3.660266387424888634e-01 4.136431452209864412e-01 2.697287102986029028e-01 7.201254170349251638e-01 1.272819786871491887e+00 1.138694485557450786e+00 -8.944078391102571607e-03 8.336902538986575018e-02 -2.640411134156376294e-01 5.709888797176913000e-01 1.214018743576422699e-02 3.771978164570597564e-02 -3.147283675991617846e-01 -2.577287599762553283e-01 -1.418273100708019631e-02 1.130601709395194082e-01 -1.716447104797884024e-02 -3.603013047276231173e-01 -1.925352650003238266e-03 9.164646459514323718e-02 -5.483351091350241457e-01 4.304459358448550765e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.387552618298798723e+00 3.747630356929100959e+00 6.212544328890249545e+00 7.044520192150278248e+00 0.000000000000000000e+00 1.019265637822053705e+00 1.041668674535170958e+01 1.162184453029240139e+01 2.331980129116138480e-05 1.777789849085879489e-02 1.461786859835398356e-01 3.618243758329251492e-01 4.137352017671503401e-01 2.515573366318014092e-01 7.439787443721638249e-01 1.269324268030662450e+00 1.138819763566374599e+00 -1.061357292529030612e-02 1.112886737244284108e-01 -2.672621705194787589e-01 5.697276563712678765e-01 9.580276644893127164e-03 3.892817634003024191e-02 -3.158317295899037980e-01 -2.665461011920907675e-01 -4.603749020520229475e-03 1.310320322046776842e-01 -1.841672146926157452e-02 -3.150393028192299827e-01 -5.156884854270972138e-03 9.172154037023770579e-02 -5.470658541431665522e-01 4.344128741230543489e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
